,Date,Date_YMD,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,decConf,recConf,decConf2,recConf2,index,deathRate,deathRate1,recoveredRate,recoveredRate1,infecRate,infecRate1
0,30 January 2020,2020-01-30,1,1,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,7.246353786042499e-10,7.246353786042499e-10
1,31 January 2020,2020-01-31,0,1,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,7.246353786042499e-10
2,1 February 2020,2020-02-01,0,1,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,7.246353786042499e-10
3,2 February 2020,2020-02-02,1,2,0,0,0,0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,7.246353786042499e-10,1.4492707572084997e-09
4,3 February 2020,2020-02-03,1,3,0,0,0,0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,7.246353786042499e-10,2.1739061358127495e-09
5,4 February 2020,2020-02-04,0,3,0,0,0,0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09
6,5 February 2020,2020-02-05,0,3,0,0,0,0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09
7,6 February 2020,2020-02-06,0,3,0,0,0,0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09
8,7 February 2020,2020-02-07,0,3,0,0,0,0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09
9,8 February 2020,2020-02-08,0,3,0,0,0,0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09
10,9 February 2020,2020-02-09,0,3,0,0,0,0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09
11,10 February 2020,2020-02-10,0,3,0,0,0,0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09
12,11 February 2020,2020-02-11,0,3,0,0,0,0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09
13,12 February 2020,2020-02-12,0,3,0,0,0,0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09
14,13 February 2020,2020-02-13,0,3,1,1,0,0,0.0,0.0,0.0,0.3333333333333333,15,0.0,0.0,0.0,0.3333333333333333,0.0,2.1739061358127495e-09
15,14 February 2020,2020-02-14,0,3,0,1,0,0,0.0,0.0,0.0,0.3333333333333333,16,0.0,0.0,0.0,0.3333333333333333,0.0,2.1739061358127495e-09
16,15 February 2020,2020-02-15,0,3,0,1,0,0,0.0,0.0,0.0,0.3333333333333333,17,0.0,0.0,0.0,0.3333333333333333,0.0,2.1739061358127495e-09
17,16 February 2020,2020-02-16,0,3,1,2,0,0,0.0,0.0,0.0,0.6666666666666666,18,0.0,0.0,0.0,0.6666666666666666,0.0,2.1739061358127495e-09
18,17 February 2020,2020-02-17,0,3,0,2,0,0,0.0,0.0,0.0,0.6666666666666666,19,0.0,0.0,0.0,0.6666666666666666,0.0,2.1739061358127495e-09
19,18 February 2020,2020-02-18,0,3,0,2,0,0,0.0,0.0,0.0,0.6666666666666666,20,0.0,0.0,0.0,0.6666666666666666,0.0,2.1739061358127495e-09
20,19 February 2020,2020-02-19,0,3,0,2,0,0,0.0,0.0,0.0,0.6666666666666666,21,0.0,0.0,0.0,0.6666666666666666,0.0,2.1739061358127495e-09
21,20 February 2020,2020-02-20,0,3,1,3,0,0,0.0,0.0,0.0,1.0,22,0.0,0.0,0.0,1.0,0.0,2.1739061358127495e-09
22,21 February 2020,2020-02-21,0,3,0,3,0,0,0.0,0.0,0.0,1.0,23,0.0,0.0,0.0,1.0,0.0,2.1739061358127495e-09
23,22 February 2020,2020-02-22,0,3,0,3,0,0,0.0,0.0,0.0,1.0,24,0.0,0.0,0.0,1.0,0.0,2.1739061358127495e-09
24,23 February 2020,2020-02-23,0,3,0,3,0,0,0.0,0.0,0.0,1.0,25,0.0,0.0,0.0,1.0,0.0,2.1739061358127495e-09
25,24 February 2020,2020-02-24,0,3,0,3,0,0,0.0,0.0,0.0,1.0,26,0.0,0.0,0.0,1.0,0.0,2.1739061358127495e-09
26,25 February 2020,2020-02-25,0,3,0,3,0,0,0.0,0.0,0.0,1.0,27,0.0,0.0,0.0,1.0,0.0,2.1739061358127495e-09
27,26 February 2020,2020-02-26,0,3,0,3,0,0,0.0,0.0,0.0,1.0,28,0.0,0.0,0.0,1.0,0.0,2.1739061358127495e-09
28,27 February 2020,2020-02-27,0,3,0,3,0,0,0.0,0.0,0.0,1.0,29,0.0,0.0,0.0,1.0,0.0,2.1739061358127495e-09
29,28 February 2020,2020-02-28,0,3,0,3,0,0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,1.0,0.0,2.1739061358127495e-09
30,29 February 2020,2020-02-29,0,3,0,3,0,0,0.0,0.0,0.0,1.0,31,0.0,0.0,0.0,1.0,0.0,2.1739061358127495e-09
31,1 March 2020,2020-03-01,0,3,0,3,0,0,0.0,0.0,0.0,1.0,32,0.0,0.0,0.0,1.0,0.0,2.1739061358127495e-09
32,2 March 2020,2020-03-02,2,5,0,3,0,0,0.0,0.0,0.0,0.6,33,0.0,0.0,0.0,0.6,1.4492707572084997e-09,3.6231768930212494e-09
33,3 March 2020,2020-03-03,1,6,0,3,0,0,0.0,0.0,0.0,0.5,34,0.0,0.0,0.0,0.5,7.246353786042499e-10,4.347812271625499e-09
34,4 March 2020,2020-03-04,22,28,0,3,0,0,0.0,0.0,0.0,0.10714285714285714,35,0.0,0.0,0.0,0.10714285714285714,1.5941978329293496e-08,2.0289790600918995e-08
35,5 March 2020,2020-03-05,2,30,0,3,0,0,0.0,0.0,0.0,0.1,36,0.0,0.0,0.0,0.1,1.4492707572084997e-09,2.1739061358127495e-08
36,6 March 2020,2020-03-06,1,31,0,3,0,0,0.0,0.0,0.0,0.0967741935483871,37,0.0,0.0,0.0,0.0967741935483871,7.246353786042499e-10,2.2463696736731745e-08
37,7 March 2020,2020-03-07,3,34,0,3,0,0,0.0,0.0,0.0,0.08823529411764706,38,0.0,0.0,0.0,0.08823529411764706,2.1739061358127495e-09,2.4637602872544495e-08
38,8 March 2020,2020-03-08,5,39,0,3,0,0,0.0,0.0,0.0,0.07692307692307693,39,0.0,0.0,0.0,0.07692307692307693,3.6231768930212494e-09,2.8260779765565745e-08
39,9 March 2020,2020-03-09,9,48,0,3,0,0,0.0,0.0,0.0,0.0625,40,0.0,0.0,0.0,0.0625,6.521718407438249e-09,3.478249817300399e-08
40,10 March 2020,2020-03-10,15,63,1,4,0,0,0.0,0.06666666666666667,0.0,0.06349206349206349,41,0.0,0.0,0.06666666666666667,0.06349206349206349,1.0869530679063748e-08,4.5652028852067744e-08
41,11 March 2020,2020-03-11,8,71,0,4,0,0,0.0,0.0,0.0,0.056338028169014086,42,0.0,0.0,0.0,0.056338028169014086,5.797083028833999e-09,5.1449111880901744e-08
42,12 March 2020,2020-03-12,10,81,0,4,1,1,0.1,0.0,0.012345679012345678,0.04938271604938271,43,0.1,0.012345679012345678,0.0,0.04938271604938271,7.246353786042499e-09,5.8695465666944237e-08
43,13 March 2020,2020-03-13,10,91,6,10,0,1,0.0,0.6,0.01098901098901099,0.10989010989010989,44,0.0,0.01098901098901099,0.6,0.10989010989010989,7.246353786042499e-09,6.594181945298674e-08
44,14 March 2020,2020-03-14,11,102,0,10,1,2,0.09090909090909091,0.0,0.0196078431372549,0.09803921568627451,45,0.09090909090909091,0.0196078431372549,0.0,0.09803921568627451,7.970989164646748e-09,7.391280861763349e-08
45,15 March 2020,2020-03-15,10,112,3,13,0,2,0.0,0.3,0.017857142857142856,0.11607142857142858,46,0.0,0.017857142857142856,0.3,0.11607142857142858,7.246353786042499e-09,8.115916240367598e-08
46,16 March 2020,2020-03-16,14,126,1,14,0,2,0.0,0.07142857142857142,0.015873015873015872,0.1111111111111111,47,0.0,0.015873015873015872,0.07142857142857142,0.1111111111111111,1.0144895300459498e-08,9.130405770413549e-08
47,17 March 2020,2020-03-17,20,146,1,15,1,3,0.05,0.05,0.02054794520547945,0.10273972602739725,48,0.05,0.02054794520547945,0.05,0.10273972602739725,1.4492707572084997e-08,1.0579676527622049e-07
48,18 March 2020,2020-03-18,25,171,0,15,0,3,0.0,0.0,0.017543859649122806,0.08771929824561403,49,0.0,0.017543859649122806,0.0,0.08771929824561403,1.8115884465106246e-08,1.2391264974132673e-07
49,19 March 2020,2020-03-19,27,198,5,20,1,4,0.037037037037037035,0.18518518518518517,0.020202020202020204,0.10101010101010101,50,0.037037037037037035,0.020202020202020204,0.18518518518518517,0.10101010101010101,1.9565155222314746e-08,1.4347780496364147e-07
50,20 March 2020,2020-03-20,58,256,3,23,0,4,0.0,0.05172413793103448,0.015625,0.08984375,51,0.0,0.015625,0.05172413793103448,0.08984375,4.202885195904649e-08,1.8550665692268796e-07
51,21 March 2020,2020-03-21,78,334,0,23,0,4,0.0,0.0,0.011976047904191617,0.0688622754491018,52,0.0,0.011976047904191617,0.0,0.0688622754491018,5.652155953113149e-08,2.4202821645381944e-07
52,22 March 2020,2020-03-22,69,403,0,23,3,7,0.043478260869565216,0.0,0.017369727047146403,0.05707196029776675,53,0.043478260869565216,0.017369727047146403,0.0,0.05707196029776675,4.9999841123693244e-08,2.920280575775127e-07
53,23 March 2020,2020-03-23,94,497,2,25,2,9,0.02127659574468085,0.02127659574468085,0.018108651911468814,0.05030181086519115,54,0.02127659574468085,0.018108651911468814,0.02127659574468085,0.05030181086519115,6.811572558879949e-08,3.6014378316631217e-07
54,24 March 2020,2020-03-24,74,571,15,40,1,10,0.013513513513513514,0.20270270270270271,0.017513134851138354,0.07005253940455342,55,0.013513513513513514,0.017513134851138354,0.20270270270270271,0.07005253940455342,5.362301801671449e-08,4.137668011830267e-07
