instant,season,yr,mnth,holiday,weekday,workingday,weathersit,casual,registered,cnt
1,1,0,1,0,6,0,2,331,654,985
2,1,0,1,0,0,0,2,131,670,801
3,1,0,1,0,1,1,1,120,1229,1349
4,1,0,1,0,2,1,1,108,1454,1562
5,1,0,1,0,3,1,1,82,1518,1600
6,1,0,1,0,4,1,1,88,1518,1606
7,1,0,1,0,5,1,2,148,1362,1510
8,1,0,1,0,6,0,2,68,891,959
9,1,0,1,0,0,0,1,54,768,822
10,1,0,1,0,1,1,1,41,1280,1321
11,1,0,1,0,2,1,2,43,1220,1263
12,1,0,1,0,3,1,1,25,1137,1162
13,1,0,1,0,4,1,1,38,1368,1406
14,1,0,1,0,5,1,1,54,1367,1421
15,1,0,1,0,6,0,2,222,1026,1248
16,1,0,1,0,0,0,1,251,953,1204
17,1,0,1,1,1,0,2,117,883,1000
18,1,0,1,0,2,1,2,9,674,683
19,1,0,1,0,3,1,2,78,1572,1650
20,1,0,1,0,4,1,2,83,1844,1927
21,1,0,1,0,5,1,1,75,1468,1543
22,1,0,1,0,6,0,1,93,888,981
23,1,0,1,0,0,0,1,150,836,986
24,1,0,1,0,1,1,1,86,1330,1416
25,1,0,1,0,2,1,2,186,1799,1985
26,1,0,1,0,3,1,3,34,472,506
27,1,0,1,0,4,1,1,15,416,431
28,1,0,1,0,5,1,2,38,1129,1167
29,1,0,1,0,6,0,1,123,975,1098
30,1,0,1,0,0,0,1,140,956,1096
31,1,0,1,0,1,1,2,42,1459,1501
32,1,0,2,0,2,1,2,47,1313,1360
33,1,0,2,0,3,1,2,72,1454,1526
34,1,0,2,0,4,1,1,61,1489,1550
35,1,0,2,0,5,1,2,88,1620,1708
36,1,0,2,0,6,0,2,100,905,1005
37,1,0,2,0,0,0,1,354,1269,1623
38,1,0,2,0,1,1,1,120,1592,1712
39,1,0,2,0,2,1,1,64,1466,1530
40,1,0,2,0,3,1,2,53,1552,1605
41,1,0,2,0,4,1,1,47,1491,1538
42,1,0,2,0,5,1,1,149,1597,1746
43,1,0,2,0,6,0,1,288,1184,1472
44,1,0,2,0,0,0,1,397,1192,1589
45,1,0,2,0,1,1,1,208,1705,1913
46,1,0,2,0,2,1,1,140,1675,1815
47,1,0,2,0,3,1,1,218,1897,2115
48,1,0,2,0,4,1,1,259,2216,2475
49,1,0,2,0,5,1,1,579,2348,2927
50,1,0,2,0,6,0,1,532,1103,1635
51,1,0,2,0,0,0,1,639,1173,1812
52,1,0,2,1,1,0,2,195,912,1107
53,1,0,2,0,2,1,1,74,1376,1450
54,1,0,2,0,3,1,1,139,1778,1917
55,1,0,2,0,4,1,2,100,1707,1807
56,1,0,2,0,5,1,2,120,1341,1461
57,1,0,2,0,6,0,1,424,1545,1969
58,1,0,2,0,0,0,1,694,1708,2402
59,1,0,2,0,1,1,2,81,1365,1446
60,1,0,3,0,2,1,1,137,1714,1851
61,1,0,3,0,3,1,1,231,1903,2134
62,1,0,3,0,4,1,1,123,1562,1685
63,1,0,3,0,5,1,2,214,1730,1944
64,1,0,3,0,6,0,2,640,1437,2077
65,1,0,3,0,0,0,2,114,491,605
66,1,0,3,0,1,1,1,244,1628,1872
67,1,0,3,0,2,1,1,316,1817,2133
68,1,0,3,0,3,1,2,191,1700,1891
69,1,0,3,0,4,1,3,46,577,623
70,1,0,3,0,5,1,2,247,1730,1977
71,1,0,3,0,6,0,1,724,1408,2132
72,1,0,3,0,0,0,1,982,1435,2417
73,1,0,3,0,1,1,1,359,1687,2046
74,1,0,3,0,2,1,2,289,1767,2056
75,1,0,3,0,3,1,2,321,1871,2192
